Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
Lightning Warrior	JUMP	LightningWarrior	Warrior/Synchro/Effect	Light	7	2400	1200			1 Tuner + 1 or more non-Tuner monsters. When this card destroys an opponent's monster by battle and sends it to the Graveyard, inflict 300 damage to your opponent for each card in your opponent's hand.
Malefic Stardust Dragon	JUMP	MaleficStardustDragon	Dragon/Effect	Dark	8	2500	2000			This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by removing from play 1 "Stardust Dragon" from your Extra Deck. There can only be 1 face-up "Malefic" monster on the field. Field Spell Cards cannot be destroyed by card effects. Other monsters you control cannot attack. If there is no face-up Field Spell Card on the field, destroy this card.
Malefic Truth Dragon	JUMP	MaleficTruthDragon	Dragon/Effect	Dark	12	5000	5000			This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by its own effect. If a face-up "Malefic" monster, except "Malefic Truth Dragon", is destroyed by battle or a card effect, you can pay half your Life Points to Special Summon this card from your hand or Graveyard. There can only be 1 face-up "Malefic" monster on the field. If there is no face-up Field Spell Card on the field, destroy this card. If this card destroys an opponent's monster by battle, destroy all face-up monsters your opponent controls.
Meklord Astro Mekanikle	JUMP	MeklordAstroMekanikle	Machine/Effect	Light	12	4000	4000			This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by sending 3 other "Meklord" monsters from your hand to the Graveyard. Once per turn, you can select 1 face-up Synchro Monster your opponent controls, and equip it to this card. This card gains ATK equal to those equipped monsters' combined ATK. Once per turn, during your Standby Phase, you can send 1 of those monsters to the Graveyard to inflict damage to your opponent equal to its ATK. You cannot conduct your Battle Phase the turn you activate this effect.
Meklord Emperor Granel	JUMP	MeklordEmperorGranel	Machine/Effect	Earth	1	0	0			This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by its own effect. When a face-up monster you control is destroyed by a card effect and sent to the Graveyard, you can Special Summon this card from your hand. This card gains ATK and DEF equal to half of your Life Points. Once per turn, you can select 1 Synchro Monster your opponent controls and equip it to this card. This card gains ATK equal to those equipped monsters' combined ATK. During your Main Phase, you can select 1 of those equipped monsters, and Special Summon it to your side of the field in face-up Defense Position.
Meklord Emperor Wisel	JUMP	MeklordEmperorWisel	Machine/Effect	Dark	1	2500	2500			Cannot be Normal Summoned or Set. Must be Special Summoned by its own effect, and cannot be Special Summoned by other ways. When a face-up monster you control is destroyed by a card effect and sent to the Graveyard: You can Special Summon this card (from your hand). Other monsters you control cannot declare an attack. Once per turn: You can target 1 Synchro Monster your opponent controls; equip that target to this card. This card gains ATK equal to those equipped monsters' combined ATK. Once per turn, when an opponent's Spell Card is activated: You can negate the activation and destroy it.
Number 16: Shock Master	JUMP	Number16ShockMaster	Fairy/Xyz/Effect	Light	*4	2300	1600			3 Level 4 monsters. Once per turn: You can detach 1 Xyz Material from this card to declare a card type (Monster, Spell, or Trap); that type of card (if Spell or Trap) cannot be activated, or (if Monster) cannot activate its effects, until the end of your opponent's next turn.
Number 30: Acid Golem of Destruction	JUMP	Number30AcidGolemofDestruction	Rock/Xyz/Effect	Water	*3	3000	3000			2 Level 3 monsters. During your Standby Phase: Detach 1 Xyz Material from this card or take 2000 damage. You cannot Special Summon any monsters. While this card has no Xyz Materials, it cannot attack.
Number 40: Gimmick Puppet of Strings	JUMP	Number40GimmickPuppetofStrings	Machine/Xyz/Effect	Dark	*8	3000	2000			2 Level 8 monsters. Once per turn: You can detach 1 Xyz Material from this card; place 1 String Counter on each face-up monster on the field, except this card. If you do, during your opponent's next End Phase: Destroy the monsters with String Counters, and if you do, inflict 500 damage to your opponent for each monster destroyed.
Number 88: Gimmick Puppet of Leo	JUMP	Number88GimmickPuppetofLeo	Machine/Xyz/Effect	Dark	*8	3200	2300			3 Level 8 monsters. Once per turn, if you have no cards in your Spell & Trap Card Zone: You can detach 1 Xyz Material from this card, and if you do, place 1 Destiny Counter on this card. You cannot conduct your Battle Phase the turn you activate this effect. When 3 Destiny Counters are on this card, you win the Duel.
Orichalcos Shunoros	JUMP	OrichalcosShunoros	Machine/Effect	Dark	10	?	0			This card cannot be Normal Summoned or Set. This card can only be Special Summoned from your hand if a Normal Monster you control is destroyed by battle. This card gains 1000 ATK for each monster your opponent controls. Face-up Level 4 Normal Monsters on the field cannot be destroyed by card effects.
Red-Eyes Darkness Metal Dragon	JUMP	RedEyesDarknessMetalDragon	Dragon/Effect	Dark	10	2800	2400		A1/T1	You can remove from play 1 Dragon-Type monster you control to Special Summon this card. Once per turn, you can Special Summon 1 Dragon-Type monster, except "Red-Eyes Darkness Metal Dragon" from your hand or Graveyard.
Relieve Monster	JUMP	RelieveMonster	Normal Trap							Activate only when your opponent declares an attack. Return 1 monster you control to it's owner's hand, then Special Summon 1 Level 4 monster from your hand.
Seven Swords Warrior	JUMP	SevenSwordsWarrior	Warrior/Synchro/Effect	Earth	7	2300	1800			1 Tuner + 1 or more non-Tuner monsters. Once per turn, when an Equip Card is equipped to this card , inflict 800 damage to your opponent. Once per turn, you can send 1 Equip Card equipped to this card to the Graveyard. When an Equip Card equipped to this card is sent to the Graveyard, you can select 1 face-up monster your opponent controls, and destroy it.
Shooting Quasar Dragon	JUMP	ShootingQuasarDragon	Dragon/Synchro/Effect	Light	12	4000	4000			1 Tuner Synchro Monster + 2 or more non-Tuner Synchro Monsters. Must be Synchro Summoned, and cannot be Special Summoned by other ways. This card's maximum number of attacks per turn equals the number of non-Tuner monsters used as its Synchro Material. Once per turn, when a card or effect is activated: You can negate the activation and destroy it. When this card leaves the field: You can Special Summon 1 "Shooting Star Dragon" from your Extra Deck.
Superdreadnought Rail Cannon Gustav Max	JUMP	SuperdreadnoughtRailCannonGustavMax	Machine/Xyz/Effect	Earth	*10	3000	3000			2 Level 10 monsters. Once per turn: You can detach 1 Xyz Material from this card; inflict 2000 damage to your opponent.
T.G. Hyper Librarian	JUMP	TGHyperLibrarian	Spellcaster/Synchro/Effect		5	2400	1800		A1/T1	1 Tuner + 1 or more non-Tuner monsters. While this card is face-up on the field, each time a Synchro Monster(s) is Synchro Summoned, draw 1 card for each.
The Supremacy Sun	JUMP	TheSupremacySun	Fiend/Effect	Dark	10	3000	3000			Cannot be Special Summoned, except by its own effect. During the next Standby Phase after this face-up card is destroyed and sent to the Graveyard: You can discard 1 card; Special Summon this card from the Graveyard.
The Tyrant Neptune	JUMP	TheTyrantNeptune	Reptile/Effect	Water	10	0	0			This card cannot be Special Summoned. You can Tribute Summon this card by Tributing 1 monster. This card gains the total ATK and DEF of the monsters Tributed for its Tribute Summon. When this card is Tribute Summoned, select 1 of the Tributed Effect Monsters in the Graveyard. Treat this card's name as that monster's name, and this card gains the same effects as that monster.
The Wicked Avatar	JUMP	TheWickedAvatar	Fiend/Effect	Dark	10	?	?			This card cannot be Special Summoned. This card cannot be Normal Summoned or Set except by Tributing 3 monsters. Your opponent cannot activate Spell or Trap Cards until the end of their 2nd turn after this card is Normal Summoned. The ATK and DEF of this card are each 100 points higher than the highest ATK on the field (except "The Wicked Avatar").
The Wicked Dreadroot	JUMP	TheWickedDreadroot	Fiend/Effect	Dark	10	4000	4000			This card cannot be Special Summoned. This card cannot be Normal Summoned or Set except by Tributing 3 monsters. Halve the ATK and DEF of all monsters on the field, except this card.
The Wicked Eraser	JUMP	TheWickedEraser	Fiend/Effect	Dark	10	?	?			This card cannot be Special Summoned. This card cannot be Normal Summoned or Set except by Tributing 3 monsters. The ATK and DEF of this card are each equal to the number of cards your opponent controls x1000. When this card is destroyed and sent to the Graveyard, destroy all cards on the field. During your Main Phase, you can destroy this card.
Transforming Sphere	JUMP	TransformingSphere	Winged-Beast/Effect	Wind	3	100	100			Once per turn, you can select 1 face-up Defense Position monster your opponent controls. Discard 1 card and equip the opponent's selected monster to this card (you can only equip 1 monster at a time to this card with this effect). This card gains ATK of the equipped monster. If this card attacks, it is changed to Defense Position at the end of the Battle Phase. During the End Phase, the monster equipped with this card by this card's effect is Special Summoned to your opponent's side of the field in face-up Defense Position.
Unity	JUMP	Unity	Quick-Play Spell							Select 1 monster on your side of the field. The DEF of the selected monster becomes equal to the combined original DEF of all face-up monsters on your side of the field, until the end of this turn.
Van'Dalgyon the Dark Dragon Lord	JUMP	VanDalgyontheDarkDragonLord	Dragon/Effect	Dark	8	2800	2500			After a Counter Trap Card you control negates the activation of an opponent's card(s) or effect(s), you can Special Summon this card from your hand. Then activate the appropriate effects, based on the type of cards negated: ? Spell: Inflict 1500 damage to your opponent. ? Trap: Select and destroy 1 card your opponent controls. ? Effect Monster: Select 1 monster in your Graveyard and Special Summon it.
Victory Dragon	JUMP	VictoryDragon	Dragon/Effect	Dark	8	2400	3000		A0/T1	This card cannot be Special Summoned. To Tribute Summon this card, you must Tribute 3 Dragon-Type monsters. If this card attacks your opponent directly and reduces their Life Points to 0, you win the Match.
X-Saber Souza	JUMP	XSaberSouza	Warrior/Synchro/Effect	Earth	7	2500	1600			1 Tuner + 1 or more non-Tuner "X-Saber" monsters. During your Main Phase: You can Tribute 1 "X-Saber" monster to choose 1 of these effects; this card gains that effect until the End Phase. *At the start of the Damage Step, if this card battles an opponent's monster: Destroy that monster (without damage calculation). *This card cannot be destroyed by the effects of Trap Cards.
Yu-Jo Friendship	JUMP	YuJoFriendship	Normal Spell							Offer your opponent a handshake. If they accept your handshake, each player's Life Points become half the combined Life Points of both players. If you have "Unity" in your hand and show it to your opponent, they must accept the handshake.
Zubaba General	JUMP	ZubabaGeneral	Warrior/Xyz/Effect	Earth	*4	2000	1000			2 Level 4 monsters. Once per turn: You can detach 1 Xyz Material from this card; equip 1 Warrior-Type monster from your hand to this card. This card gains ATK equal to the combined ATK of the monsters equipped to it by this effect.
Armaill	LOB	Armaill	Warrior	Earth	3	700	1300			A strange warrior who manipulates three deadly blades with both hands and his tail.
Armored Starfish	LOB	ArmoredStarfish	Aqua	Water	4	850	1400			A bluish starfish with a solid hide capable of fending off attacks.
Basic Insect	LOB	BasicInsect	Insect	Earth	2	500	700			Usually found traveling in swarms, this creature's ideal environment is the forest.
Beast Fangs	LOB	BeastFangs	Equip Spell							A Beast-Type monster equipped with this card increases its ATK and DEF by 300 points.
Charubin the Fire Knight	LOB	CharubintheFireKnight	Pyro/Fusion	Fire	3	1100	800			Monster Egg + "Hinotama Soul"
Dark Gray	LOB	DarkGray	Beast	Earth	3	800	900			Entirely gray, this beast has rarely been seen by mortal eyes.
Darkworld Thorns	LOB	DarkworldThorns	Plant	Earth	3	1200	900			A thorny plant found in the darklands that wraps itself around any unwary traveler.
Dissolverock	LOB	Dissolverock	Rock	Earth	3	900	1000			A monster born in the lava pits, it generates intense heat that can melt away its enemies.
Dragon Treasure	LOB	DragonTreasure	Equip Spell							A Dragon-Type monster equipped with this card increases its ATK and DEF by 300 points.
Dragoness the Wicked Knight	LOB	DragonesstheWickedKnight	Warrior/Fusion	Wind	3	1200	900			Armaill + "One-Eyed Shield Dragon"
Drooling Lizard	LOB	DroolingLizard	Reptile	Earth	3	900	800			A blood-sucking snake in human form that attacks any living being that passes nearby.
Electro-Whip	LOB	ElectroWhip	Equip Spell							A Thunder-Type monster equipped with this card increases its ATK and DEF by 300 points.
Enchanting Mermaid	LOB	EnchantingMermaid	Fish	Water	3	1200	900			A beautiful mermaid that lures voyagers to a watery death.
Fiend Reflection #2	LOB	FiendReflection2	Winged Beast	Light	4	1100	1400			A bird-beast that summons reinforcements with a hand mirror.
Firegrass	LOB	Firegrass	Plant	Earth	2	700	600			A fire-breathing plant found growing near volcanoes.
Fireyarou	LOB	Fireyarou	Pyro	Fire	4	1300	1000			A malevolent creature wrapped in flames that attacks enemies with intense fire.
Flame Ghost	LOB	FlameGhost	Zombie/Fusion	Dark	3	1000	800			Skull Servant + "Dissolverock"
Flower Wolf	LOB	FlowerWolf	Beast/Fusion	Earth	5	1800	1400			Silver Fang + "Darkworld Thorns"
Follow Wind	LOB	FollowWind	Equip Spell							A Winged Beast-Type monster equipped with this card increases its ATK and DEF by 300 points.
Forest	LOB	Forest	Field Spell							Increases the ATK and DEF of all Insect, Beast, Plant, and Beast-Warrior-Type monsters by 200 points.
Frenzied Panda	LOB	FrenziedPanda	Beast	Earth	4	1200	1000			A savage beast that carries a big bamboo stick for beating down its enemies.
Fusionist	LOB	Fusionist	Beast/Fusion	Earth	3	900	700			Petit Angel + "Mystical Sheep #2"
Green Phantom King	LOB	GreenPhantomKing	Plant	Earth	3	500	1600			This youthful king of the forests lives in a green world, abundant with trees and wildlife.
Hard Armor	LOB	HardArmor	Warrior	Earth	3	300	1200			A living suit of armor that attacks enemies with a bone-jarring tackle.
Hinotama	LOB	Hinotama	Normal Spell							Inflict 500 damage to your opponent.
Hinotama Soul	LOB	HinotamaSoul	Pyro	Fire	2	600	500			An intensely hot flame creature that rams anything standing in its way.
Kagemusha of the Blue Flame	LOB	KagemushaoftheBlueFlame	Warrior	Earth	2	800	400			Serving as a double for the Ruler of the Blue Flame, he's a master swordsman that wields a fine blade.
King Fog	LOB	KingFog	Fiend	Dark	3	1000	900			A fiend that dwells in a blinding curtain of smoke.
Kumootoko	LOB	Kumootoko	Insect	Earth	3	700	1400			A massive, intelligent spider that traps enemies with webbing.
Kurama	LOB	Kurama	Winged Beast	Wind	3	800	800			A vicious bird that attacks from the skies with its whip-like tail.
Larvas	LOB	Larvas	Beast	Earth	3	800	1000			A fast-moving, bird-like creature that strangles opposing monsters with its long, thin arms.
Laser Cannon Armor	LOB	LaserCannonArmor	Equip Spell							A Insect-Type monster equipped with this card increases its ATK and DEF by 300 points.
Legendary Sword	LOB	LegendarySword	Equip Spell							A Warrior-Type monster equipped with this card increases its ATK and DEF by 300 points.
Lesser Dragon	LOB	LesserDragon	Dragon	Wind	4	1200	1000			A minor dragon incapable of breathing fire.
Machine Conversion Factory	LOB	MachineConversionFactory	Equip Spell							A Machine-Type monster equipped with this card increases its ATK and DEF by 300 points.
Man Eater	LOB	ManEater	Plant	Earth	2	800	600			Man-eating plant with poison feelers for attacking enemies.
Meda Bat	LOB	MedaBat	Fiend	Dark	2	800	400			An eyeball fiend created by a servant of the wicked, it uses "Dark Bombs" to blow away its enemies.
Metal Dragon	LOB	MetalDragon	Machine/Fusion	Wind	6	1850	1700			Steel Ogre Grotto #1 + "Lesser Dragon"
Misairuzame	LOB	Misairuzame	Fish	Water	5	1400	1600			A missile-launching fish protected by deadly spikes.
Monster Egg	LOB	MonsterEgg	Warrior	Earth	3	600	900			A warrior hidden within an egg that attacks enemies by flinging eggshells.
M-Warrior #1	LOB	MWarrior1	Warrior	Earth	3	1000	500			Specializing in combination attacks, this warrior uses magnetism to block an enemy's escape.
M-Warrior #2	LOB	MWarrior2	Warrior	Earth	3	500	1000			Specializing in combination attacks, this warrior is equipped with a tough, magnetically coated armor.
Mystical Moon	LOB	MysticalMoon	Equip Spell							A Beast-Warrior-Type monster equipped with this card increases its ATK and DEF by 300 points.
Mystical Sheep #2	LOB	MysticalSheep2	Beast	Earth	3	800	1000			A monstrous sheep with a long tail for hypnotizing enemies.
Nemuriko	LOB	Nemuriko	Spellcaster	Dark	3	800	700			A child-like creature that controls a sleep fiend to beckon enemies into eternal slumber.
One-Eyed Shield Dragon	LOB	OneEyedShieldDragon	Dragon	Wind	3	700	1300			This dragon wears a shield not only for its own protection, but also for ramming its enemies.
Petit Angel	LOB	PetitAngel	Fairy	Light	3	600	900			A quick-moving and tiny fairy that's very difficult to hit.
Petit Dragon	LOB	PetitDragon	Dragon	Wind	2	600	700			A very small dragon known for its vicious attacks.
Power of Kaishin	LOB	PowerofKaishin	Equip Spell							An Aqua-Type monster equipped with this card increases its ATK and DEF by 300 points.
Raise Body Heat	LOB	RaiseBodyHeat	Equip Spell							A Dinosaur-Type monster equipped with this card increases its ATK and DEF by 300 points.
Ray and Temperature	LOB	RayandTemperature	Fairy	Light	3	1000	1000			The Sun and the North Wind join hands to deliver a devastating combination of heat and gale-force winds.
Root Water	LOB	RootWater	Fish	Water	3	900	800			An amphibian capable of calling up a massive tidal wave from the dark seas to wipe out enemy monsters.
Sand Stone	LOB	SandStone	Rock	Earth	5	1300	1600			Appears from underground and attacks with long, snake-like tentacles.
Silver Bow and Arrow	LOB	SilverBowandArrow	Equip Spell							A Fairy-Type monster equipped with this card increases its ATK and DEF by 300 points.
Sparks	LOB	Sparks	Normal Spell							Inflicts 200 points of Direct Damage to your opponent's Life Points.
Spike Seadra	LOB	SpikeSeadra	Sea Serpent	Water	5	1600	1300			Using the spikes sprouting from its body, this creature stabs its opponents and floods them with electricity.
Steel Ogre Grotto #1	LOB	SteelOgreGrotto1	Machine	Earth	5	1400	1800			A steel idol worshipped in the Land of Machines.
Succubus Knight	LOB	SuccubusKnight	Warrior	Dark	5	1650	1300			An unworthy warrior wizard adept in casting death-dealing spells.
The 13th Grave	LOB	The13thGrave	Zombie	Dark	3	1200	900			A zombie that suddenly appeared from plot #13 - an empty grave.
The Furious Sea King	LOB	TheFuriousSeaKing	Aqua	Water	3	800	700			Grand King of the Seven Seas, he's able to summon massive tidal waves to drown the enemy.
Trial of Nightmare	LOB	TrialofNightmare	Fiend	Dark	4	1300	900			This fiend passes judgment on enemies that are locked in coffins.
Tripwire Beast	LOB	TripwireBeast	Thunder	Earth	4	1200	1300			This creature attacks with electromagnetic waves.
Turtle Tiger	LOB	TurtleTiger	Aqua	Water	4	1000	1500			A tiger encased in a protective shell that attacks with razor-sharp fangs.
Two-Mouth Darkruler	LOB	TwoMouthDarkruler	Dinosaur	Earth	3	900	700			A dinosaur with two deadly jaws, it stores electricity in its horn and releases high voltage bolts from the mouth on its back.
Tyhone	LOB	Tyhone	Winged Beast	Wind	4	1200	1400			Capable of firing cannonballs from its mouth for long-range attacks, this creature is particularly effective in mountain battles.
Umi	LOB	Umi	Field Spell							Increase the ATK and DEF of all Fish, Sea Serpent, Thunder, and Aqua-Type monsters by 200 points. Decrease the ATK and DEF of all Machine and Pyro-Type monsters by 200 points.
Vile Germs	LOB	VileGerms	Equip Spell							A Plant-Type monster equipped with this card increases its ATK and DEF by 300 points.
Violet Crystal	LOB	VioletCrystal	Equip Spell							A Zombie-Type monster equipped with this card increases its ATK and DEF by 300 points.
Wasteland	LOB	Wasteland	Field Spell							Increases the ATK and DEF of all Dinosaur, Zombie, and Rock-Type monsters by 200 points.
Flying Penguin	MP1	FlyingPenguin	Aqua	Water	4	1200	1000			A very rare penguin that takes to the air with ears shaped like wings.
Frog the Jam	MP1	FrogtheJam	Aqua	Water	2	700	500			A slime with the head of a frog, it attacks by croaking terribly.
Stuffed Animal	MP1	StuffedAnimal	Warrior	Earth	3	1200	900			It may look like a harmless stuffed animal, but its zipper mouth deals a deadly bite.
Turtle Bird	MP1	TurtleBird	Aqua	Water	6	1900	1700			An unusual turtle that not only swims at tremendous speeds, but can also sail across the skies.
Ushi Oni	MP1	UshiOni	Fiend	Dark	6	2150	1950			A bull fiend restored by the dark arts, this monster appears out of a jar.
Ancient Brain	MRD	AncientBrain	Fiend	Dark	3	1000	700			A fallen fairy that is powerful in the Dark.
Ancient Lizard Warrior	MRD	AncientLizardWarrior	Reptile	Earth	4	1400	1100			Before the dawn of man, this lizard warrior ruled supreme.
Bickuribox	MRD	Bickuribox	Fiend/Fusion	Dark	7	2300	2000			Crass Clown + "Dream Clown"
Blue-Winged Crown	MRD	BlueWingedCrown	Winged Beast	Wind	4	1600	1200			With hair shaped like a crown and a body encased in bluish white flames, this bird is a formidable sight.
Bottom Dweller	MRD	BottomDweller	Fish	Water	5	1650	1700			This is one sea creature whose wrath is something monsters fear to face.
Cannon Soldier	MRD	CannonSoldier	Machine/Effect	Dark	4	1400	1300			Tribute 1 monster to inflict 500 points damage to your opponent.
Castle of Dark Illusions	MRD	CastleofDarkIllusions	Fiend/Effect	Dark	4	920	1930			FLIP: Increases the ATK and DEF of all Zombie-type monsters by 200 points. As long as this card remains face-up on the Field, the ATK and DEF of Zombie-type monsters continues to increase by 200 points during each of your Standby Phases. This effect continues until your 4th turn after the card is activated.
Crawling Dragon	MRD	CrawlingDragon	Dragon	Earth	5	1600	1400			This weakened dragon can no longer fly, but is still a deadly force to be reckoned with.
Cyber Saurus	MRD	CyberSaurus	Machine/Fusion	Earth	5	1800	1400			Blast Juggler + "Two-Headed King Rex"
Deepsea Shark	MRD	DeepseaShark	Fish/Fusion	Water	5	1900	1600			Bottom Dweller + "Tongyo"
Disk Magician	MRD	DiskMagician	Machine	Dark	4	1350	1000			This monster hides in a saucer and only appears when executing an attack.
Electric Lizard	MRD	ElectricLizard	Thunder/Effect	Earth	3	850	800			A non Zombie-type monster attacking "Electric Lizard" cannot attack on its following turn.
Empress Judge	MRD	EmpressJudge	Warrior/Fusion	Earth	6	2100	1700			Queen's Double + "Hibikime"
Flame Cerebrus	MRD	FlameCerebrus	Pyro	Fire	6	2100	1800			Known to many as the "Burning Executioner", this monster is capable of burning enemies to cinders.
Garnecia Elefantis	MRD	GarneciaElefantis	Beast-Warrior	Earth	7	2400	2000			A monster so heavy that each step rocks the Earth.
Germ Infection	MRD	GermInfection	Equip Spell							The ATK of a non Machine-type monster equipped with this card is decreased by 300 points at each of it's Standby Phases.
Giga-Tech Wolf	MRD	GigaTechWolf	Machine	Fire	4	1200	1400			An iron wolf with razor-sharp fangs that can penetrate any armor.
Giltia the D. Knight	MRD	GiltiatheDKnight	Warrior/Fusion	Light	5	1850	1500			Guardian of the Labyrinth + "Protector of the Throne"
Ground Attacker Bugroth	MRD	GroundAttackerBugroth	Machine	Earth	4	1500	1000			A surface battle robot that was once used for sea warfare.
Guardian of the Labyrinth	MRD	GuardianoftheLabyrinth	Warrior	Earth	4	1000	1200			A monster that guards the entrance to the Netherworld.
Hibikime	MRD	Hibikime	Warrior	Earth	4	1450	1000			Confuses enemy monsters with a noise that is harsh to the ears.
Hunter Spider	MRD	HunterSpider	Insect	Earth	5	1600	1400			This monster feeds on whatever it catches in its web.
Hyosube	MRD	Hyosube	Aqua	Water	4	1500	900			This amphibian is strong on the attack, but leaves much to be desired when defending.
Insect Soldiers of the Sky	MRD	InsectSoldiersoftheSky	Insect/Effect	Wind	3	1000	800			The ATK of this card increases by 1000 points whenever it attacks a WIND monster.
Jellyfish	MRD	Jellyfish	Aqua	Water	4	1200	1500			An almost invisible, semi-transparent jellyfish that drifts in the sea.
Kaminari Attack	MRD	KaminariAttack	Thunder/Fusion	Wind	5	1900	1400			Ocubeam + "Mega Thunderball"
Killer Needle	MRD	KillerNeedle	Insect	Wind	4	1200	1000			A huge bee with exceptional strength that's particularly dangerous in a swarm.
Labyrinth Tank	MRD	LabyrinthTank	Machine/Fusion	Dark	7	2400	2400			Giga-Tech Wolf + "Cannon Soldier"
